tract_fips,population,lat,lon,California County,nearest_station_km,access_all_5km,access_nevi_5km,gini_all_5km,gini_nevi_5km,access_all_5km_pct,access_nevi_5km_pct
6037139504,3998,34.1670182,-118.5202503,Los Angeles,0.224284718,0.000563073,0,0.998590936,0.999997162,0.147887324,0.328638498
6037143200,4085,34.1494399,-118.3720618,Los Angeles,0.366247676,0.000597468,1.75E-05,0.998590936,0.999997162,0.159624413,0.763497653
6037183810,4163,34.107365,-118.1978495,Los Angeles,0.242745765,0.000608253,1.75E-05,0.998590936,0.999997162,0.167840376,0.763497653
6037185202,3627,34.0950598,-118.2170631,Los Angeles,0.6673084,0.000639358,1.75E-05,0.998590936,0.999997162,0.181924883,0.763497653
6037185203,3566,34.1001272,-118.2316884,Los Angeles,0.530930019,0.000675251,2.94E-05,0.998590936,0.999997162,0.194835681,0.843896714
6037185310,3131,34.0922029,-118.2226256,Los Angeles,0.725600388,0.001138742,1.19E-05,0.998590936,0.999997162,0.311032864,0.670774648
6037185320,2991,34.0887194,-118.2242419,Los Angeles,0.793194219,0.00115801,2.94E-05,0.998590936,0.999997162,0.316901408,0.843896714
6037186301,2906,34.1223506,-118.2404336,Los Angeles,0.26850405,0.001036821,2.94E-05,0.998590936,0.999997162,0.280516432,0.843896714
6037186302,5096,34.1126744,-118.228857,Los Angeles,0.987702013,0.001011477,2.94E-05,0.998590936,0.999997162,0.269953052,0.843896714
6037186401,3489,34.1174815,-118.2455126,Los Angeles,0.213722592,0.000490982,0,0.998590936,0.999997162,0.113849765,0.328638498
6037186403,2698,34.1118266,-118.2394938,Los Angeles,0.624890825,0.000383002,0,0.998590936,0.999997162,0.0592723,0.328638498
6037186404,2631,34.1067595,-118.2354293,Los Angeles,0.363794768,0.000416008,0,0.998590936,0.999997162,0.072769953,0.328638498
6037187101,3438,34.1160806,-118.2602407,Los Angeles,0.403604752,0.000486204,0,0.998590936,0.999997162,0.111502347,0.328638498
6037187102,3739,34.1090483,-118.2514556,Los Angeles,0.133115546,0.000540192,0,0.998590936,0.999997162,0.137323944,0.328638498
6037187200,2963,34.1036004,-118.2473892,Los Angeles,0.362635304,0.000402493,0,0.998590936,0.999997162,0.066901408,0.328638498
6037188100,3918,34.1366071,-118.2703438,Los Angeles,0.496120308,0.000383002,0,0.998590936,0.999997162,0.0592723,0.328638498
6037189101,2521,34.1047367,-118.288505,Los Angeles,0.131498192,0.000466039,0,0.998590936,0.999997162,0.103286385,0.328638498
6037189201,3216,34.1035829,-118.2961605,Los Angeles,0.136038236,0.045001456,0,0.998590936,0.999997162,0.990610329,0.328638498
6037190100,4453,34.0994853,-118.3416948,Los Angeles,0.211688415,0.048702354,0.000271205,0.998590936,0.999997162,0.991784038,0.98943662
6037190201,2632,34.1033578,-118.329714,Los Angeles,0.199296887,0.058387782,0.000463309,0.998590936,0.999997162,0.992957746,0.990610329
